service_id,date,exception_type
0000000022023091120240611,20231101,2
0000000022023091120240611,20231208,2
0000000022023091120240611,20231225,2
0000000022023091120240611,20231226,2
0000000022023091120240611,20240101,2
0000000022023091120240611,20240106,2
0000000022023091120240611,20240401,2
0000000022023091120240611,20240425,2
0000000022023091120240611,20240501,2
0000000032023091120240611,20230911,1
0000000032023091120240611,20230912,1
0000000032023091120240611,20230913,1
0000000032023091120240611,20230914,1
0000000032023091120240611,20230915,1
0000000032023091120240611,20230916,1
0000000032023091120240611,20230918,1
0000000032023091120240611,20230919,1
0000000032023091120240611,20230920,1
0000000032023091120240611,20230921,1
0000000032023091120240611,20230922,1
0000000032023091120240611,20230923,1
0000000032023091120240611,20230925,1
0000000032023091120240611,20230926,1
0000000032023091120240611,20230927,1
0000000032023091120240611,20230928,1
0000000032023091120240611,20230929,1
0000000032023091120240611,20230930,1
0000000032023091120240611,20231002,1
0000000032023091120240611,20231003,1
0000000032023091120240611,20231004,1
0000000032023091120240611,20231005,1
0000000032023091120240611,20231006,1
0000000032023091120240611,20231007,1
0000000032023091120240611,20231009,1
0000000032023091120240611,20231010,1
0000000032023091120240611,20231011,1
0000000032023091120240611,20231012,1
0000000032023091120240611,20231013,1
0000000032023091120240611,20231014,1
0000000032023091120240611,20231016,1
0000000032023091120240611,20231017,1
0000000032023091120240611,20231018,1
0000000032023091120240611,20231019,1
0000000032023091120240611,20231020,1
0000000032023091120240611,20231021,1
0000000032023091120240611,20231023,1
0000000032023091120240611,20231024,1
0000000032023091120240611,20231025,1
0000000032023091120240611,20231026,1
0000000032023091120240611,20231027,1
0000000032023091120240611,20231028,1
0000000032023091120240611,20231030,1
0000000032023091120240611,20231031,1
0000000032023091120240611,20231101,2
0000000032023091120240611,20231102,1
0000000032023091120240611,20231103,1
0000000032023091120240611,20231104,1
0000000032023091120240611,20231106,1
0000000032023091120240611,20231107,1
0000000032023091120240611,20231108,1
0000000032023091120240611,20231109,1
0000000032023091120240611,20231110,1
0000000032023091120240611,20231111,1
0000000032023091120240611,20231113,1
0000000032023091120240611,20231114,1
0000000032023091120240611,20231115,1
0000000032023091120240611,20231116,1
0000000032023091120240611,20231117,1
0000000032023091120240611,20231118,1
0000000032023091120240611,20231120,1
0000000032023091120240611,20231121,1
0000000032023091120240611,20231122,1
0000000032023091120240611,20231123,1
0000000032023091120240611,20231124,1
0000000032023091120240611,20231125,1
0000000032023091120240611,20231127,1
0000000032023091120240611,20231128,1
0000000032023091120240611,20231129,1
0000000032023091120240611,20231130,1
0000000032023091120240611,20231201,1
0000000032023091120240611,20231202,1
0000000032023091120240611,20231204,1
0000000032023091120240611,20231205,1
0000000032023091120240611,20231206,1
0000000032023091120240611,20231207,1
0000000032023091120240611,20231208,2
0000000032023091120240611,20231209,2
0000000032023091120240611,20231211,1
0000000032023091120240611,20231212,1
0000000032023091120240611,20231213,1
0000000032023091120240611,20231214,1
0000000032023091120240611,20231215,1
0000000032023091120240611,20231216,1
0000000032023091120240611,20231218,1
0000000032023091120240611,20231219,1
0000000032023091120240611,20231220,1
0000000032023091120240611,20231221,1
0000000032023091120240611,20231222,1
0000000032023091120240611,20231223,2
0000000032023091120240611,20231225,2
0000000032023091120240611,20231226,2
0000000032023091120240611,20231227,2
0000000032023091120240611,20231228,2
0000000032023091120240611,20231229,2
0000000032023091120240611,20231230,2
0000000032023091120240611,20240101,2
0000000032023091120240611,20240102,2
0000000032023091120240611,20240103,2
0000000032023091120240611,20240104,2
0000000032023091120240611,20240105,2
0000000032023091120240611,20240106,2
0000000032023091120240611,20240108,1
0000000032023091120240611,20240109,1
0000000032023091120240611,20240110,1
0000000032023091120240611,20240111,1
0000000032023091120240611,20240112,1
0000000032023091120240611,20240113,1
0000000032023091120240611,20240115,1
0000000032023091120240611,20240116,1
0000000032023091120240611,20240117,1
0000000032023091120240611,20240118,1
0000000032023091120240611,20240119,1
0000000032023091120240611,20240120,1
0000000032023091120240611,20240122,1
0000000032023091120240611,20240123,1
0000000032023091120240611,20240124,1
0000000032023091120240611,20240125,1
0000000032023091120240611,20240126,1
0000000032023091120240611,20240127,1
0000000032023091120240611,20240129,1
0000000032023091120240611,20240130,1
0000000032023091120240611,20240131,1
0000000032023091120240611,20240201,1
0000000032023091120240611,20240202,1
0000000032023091120240611,20240203,1
0000000032023091120240611,20240205,1
0000000032023091120240611,20240206,1
0000000032023091120240611,20240207,1
0000000032023091120240611,20240208,2
0000000032023091120240611,20240209,2
0000000032023091120240611,20240210,2
0000000032023091120240611,20240212,2
0000000032023091120240611,20240213,2
0000000032023091120240611,20240214,1
0000000032023091120240611,20240215,1
0000000032023091120240611,20240216,1
0000000032023091120240611,20240217,1
0000000032023091120240611,20240219,1
0000000032023091120240611,20240220,1
0000000032023091120240611,20240221,1
0000000032023091120240611,20240222,1
0000000032023091120240611,20240223,1
0000000032023091120240611,20240224,1
0000000032023091120240611,20240226,1
0000000032023091120240611,20240227,1
0000000032023091120240611,20240228,1
0000000032023091120240611,20240229,1
0000000032023091120240611,20240301,1
0000000032023091120240611,20240302,1
0000000032023091120240611,20240304,1
0000000032023091120240611,20240305,1
0000000032023091120240611,20240306,1
0000000032023091120240611,20240307,1
0000000032023091120240611,20240308,1
0000000032023091120240611,20240309,1
0000000032023091120240611,20240311,1
0000000032023091120240611,20240312,1
0000000032023091120240611,20240313,1
0000000032023091120240611,20240314,1
0000000032023091120240611,20240315,1
0000000032023091120240611,20240316,1
0000000032023091120240611,20240318,1
0000000032023091120240611,20240319,1
