route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
582,0000000622023061020230910,0003886982023061020230910,Mori Via Don Sturzo,0,D226_F5255_Andata_sub1,1
582,0000000622023061020230910,0003886992023061020230910,Mori Via Don Sturzo,0,D226_F5255_Andata_sub1,1
582,0000000622023061020230910,0003887002023061020230910,Mori Via Don Sturzo,0,D228_F5257_Andata_sub1,1
582,0000000622023061020230910,0003887012023061020230910,Mori Via Don Sturzo,0,D226_F5255_Andata_sub1,1
582,0000000622023061020230910,0003887022023061020230910,Stazione Fs,0,D223_F5135f_Andata_sub1,1
582,0000000622023061020230910,0003887032023061020230910,Nomi Piazza Springa,1,D227_F5256_Ritorno_sub2,1
582,0000000622023061020230910,0003887042023061020230910,Nomi Piazza Springa,1,D227_F5256_Ritorno_sub2,1
582,0000000622023061020230910,0003887052023061020230910,Nomi Piazza Springa,1,D227_F5256_Ritorno_sub2,1
582,0000000622023061020230910,0003887062023061020230910,Nomi Piazza Springa,1,D229_F5258_Ritorno_sub2,1
582,0000000622023061020230910,0003887072023061020230910,Nomi Piazza Springa,1,D227_F5256_Ritorno_sub2,1
582,0000000622023061020230910,0003887082023061020230910,Nomi Piazza Springa,1,D235_F5266_Ritorno_sub1,1
582,0000000622023061020230910,0003887112023061020230910,Mori Via Don Sturzo,0,D224_F5253_Andata_sub2,1
582,0000000622023061020230910,0003887122023061020230910,Mori Via Don Sturzo,0,D224_F5253_Andata_sub2,1
582,0000000622023061020230910,0003887132023061020230910,Stazione Fs,0,D230_F5259_Andata_sub2,1
582,0000000622023061020230910,0003887142023061020230910,Pomarolo Via Degasperi,1,D231_F5260_Ritorno_sub1,1
582,0000000622023061020230910,0003887152023061020230910,Pomarolo Via Degasperi,1,D233_F5262_Ritorno_sub2,1
582,0000000622023061020230910,0003887162023061020230910,Nomi Piazza Springa,1,D235_F5266_Ritorno_sub1,1
580,0000000622023061020230910,0003887192023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887202023061020230910,Corso Rosmini Posta,0,D469_R5628b_Ritorno_sub1,1
580,0000000622023061020230910,0003887212023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887222023061020230910,Corso Rosmini Posta,0,D469_R5628b_Ritorno_sub1,1
580,0000000622023061020230910,0003887232023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887242023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887252023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887262023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887272023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887282023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887292023061020230910,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622023061020230910,0003887302023061020230910,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622023061020230910,0003887312023061020230910,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622023061020230910,0003887322023061020230910,Costa Capolinea,1,D252_N5672a_Ritorno_sub2,1
580,0000000622023061020230910,0003887332023061020230910,Corso Rosmini Monumento,1,D237_F5638_Ritorno_sub2,1
580,0000000622023061020230910,0003887342023061020230910,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622023061020230910,0003887352023061020230910,Corso Rosmini Monumento,1,D237_F5638_Ritorno_sub2,1
580,0000000622023061020230910,0003887362023061020230910,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622023061020230910,0003887372023061020230910,Corso Rosmini Monumento,1,D237_F5638_Ritorno_sub2,1
580,0000000622023061020230910,0003887382023061020230910,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
566,0000000622023061020230910,0003887492023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887502023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887512023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887522023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887532023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887542023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887552023061020230910,Via Della Cisterna,0,D219_F5037b_Andata_sub2,1
566,0000000622023061020230910,0003887562023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887572023061020230910,Via Della Cisterna,0,D217_F5035b_Andata_sub1,1
566,0000000622023061020230910,0003887582023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622023061020230910,0003887592023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
