Descr.breve:;12
Descr.lunga:;Romagnano - Ravina - Via Ghiaie - P.Dante
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FESTIVO
Frequenza:
Linea:;;;;;;;;;;;;;;;;;
Servizio:
ROMAGNANO  Piazza Condini;06.34;07.34;08.34;09.34;10.34;11.34;12.34;13.34;14.34;15.34;16.34;17.34;18.34;19.34;20.34;21.34;22.34
ROMAGNANO  7 Fontane;06.34;07.34;08.34;09.34;10.34;11.34;12.34;13.34;14.34;15.34;16.34;17.34;18.34;19.34;20.34;21.34;22.34
ROMAGNANO  sud;06.35;07.35;08.35;09.35;10.35;11.35;12.35;13.35;14.35;15.35;16.35;17.35;18.35;19.35;20.35;21.35;22.35
ROMAGNANO  Fontanelle;06.36;07.36;08.36;09.36;10.36;11.36;12.36;13.36;14.36;15.36;16.36;17.36;18.36;19.36;20.36;21.36;22.36
ROMAGNANO  Rimoni;06.36;07.36;08.36;09.36;10.36;11.36;12.36;13.36;14.36;15.36;16.36;17.36;18.36;19.36;20.36;21.36;22.36
ROMAGNANO  nord;06.36;07.36;08.36;09.36;10.36;11.36;12.36;13.36;14.36;15.36;16.36;17.36;18.36;19.36;20.36;21.36;22.36
RAVINA  "Maso Stella";06.38;07.38;08.38;09.38;10.38;11.38;12.38;13.38;14.38;15.38;16.38;17.38;18.38;19.38;20.38;21.38;22.38
RAVINA  "case ITEA";06.39;07.39;08.39;09.39;10.39;11.39;12.39;13.39;14.39;15.39;16.39;17.39;18.39;19.39;20.39;21.39;22.39
RAVINA  Masere;06.40;07.40;08.40;09.40;10.40;11.40;12.40;13.40;14.40;15.40;16.40;17.40;18.40;19.40;20.40;21.40;22.40
RAVINA  Chiesa;06.40;07.40;08.40;09.40;10.40;11.40;12.40;13.40;14.40;15.40;16.40;17.40;18.41;19.40;20.40;21.40;22.40
RAVINA  per Belvedere;06.41;07.41;08.41;09.41;10.41;11.41;12.41;13.41;14.41;15.41;16.41;17.41;18.42;19.41;20.41;21.41;22.41
BELVEDERE;06.42;07.42;08.42;09.42;10.42;11.42;12.42;13.42;14.42;15.42;16.42;17.42;18.43;19.42;20.42;21.42;22.42
RAVINA  per Belvedere;06.42;07.42;08.42;09.42;10.42;11.42;12.42;13.42;14.42;15.42;16.42;17.42;18.44;19.42;20.42;21.42;22.42
RAVINA  Piazza;06.43;07.43;08.43;09.43;10.43;11.43;12.43;13.43;14.43;15.43;16.43;17.43;18.45;19.43;20.43;21.43;22.43
RAVINA  Masere;06.44;07.44;08.44;09.44;10.44;11.44;12.44;13.44;14.44;15.44;16.44;17.44;18.46;19.44;20.44;21.44;22.44
RAVINA  del Ponte;06.45;07.45;08.45;09.45;10.45;11.45;12.45;13.45;14.45;15.45;16.45;17.45;18.47;19.45;20.45;21.45;22.45
"Ponte di Ravina";06.46;07.46;08.46;09.46;10.46;11.46;12.46;13.46;14.46;15.46;16.46;17.46;18.48;19.46;20.46;21.46;22.46
Tangenziale Ovest  Pezcoller;06.48;07.48;08.48;09.48;10.48;11.48;12.48;13.48;14.48;15.48;16.48;17.48;18.50;19.48;20.48;21.48;22.48
Jedin  Sanseverino;06.49;07.49;08.49;09.49;10.49;11.49;12.49;13.49;14.49;15.49;16.49;17.49;18.51;19.49;20.49;21.49;22.49
Ghiaie  "Giardinerie";06.49;07.49;08.49;09.49;10.49;11.49;12.49;13.49;14.49;15.49;16.49;17.49;18.51;19.49;20.49;21.49;22.49
Ghiaie  Monte Baldo;06.50;07.50;08.50;09.50;10.50;11.50;12.50;13.50;14.50;15.50;16.50;17.50;18.52;19.50;20.50;21.50;22.50
Largo Prati;06.50;07.50;08.50;09.50;10.50;11.50;12.50;13.50;14.50;15.50;16.50;17.50;18.52;19.50;20.50;21.50;22.50
Bezzi  Filzi;06.52;07.52;08.52;09.52;10.52;11.52;12.52;13.52;14.52;15.52;16.52;17.52;18.54;19.52;20.52;21.52;22.52
Giusti  "Arcivescovile";06.53;07.53;08.53;09.53;10.53;11.53;12.53;13.53;14.53;15.53;16.53;17.53;18.55;19.53;20.53;21.53;22.53
Rosmini  "Cimitero" / MUSE;06.54;07.54;08.54;09.54;10.54;11.54;12.54;13.54;14.54;15.54;16.54;17.54;18.56;19.54;20.54;21.54;22.54
Rosmini  S.Maria Maggiore;06.56;07.56;08.56;09.56;10.56;11.56;12.56;13.56;14.56;15.56;16.56;17.56;18.58;19.56;20.56;21.56;22.56
Piazza Dante  "Pal. Regione";06.59;07.59;08.59;09.59;10.59;11.59;12.59;13.59;14.59;15.59;16.59;17.59;19.01;19.59;20.59;21.59;22.59
