Descr.breve:;;A;
Descr.lunga:;;P.Dante-Ospedale-Fersina-Clarina-P.Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;;;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Piave "Parco S.Chiara";402;;06:27;06:52;07:17;07:27;07:47;07:57;08:17;08:27;08:34;08:47;08:57;09:17;09:27;09:34;09:47;09:57;10:17;10:27;10:34;10:47;10:57;11:17;11:27;11:34;11:47;11:57;12:17;12:27;12:34;12:47;12:57;;13:17;13:27;13:34;13:47;13:57;14:17;14:27;14:34;14:47;14:57;15:17;15:27;15:34;15:47;15:57;16:17;16:27;16:34;16:47;16:57;17:17;17:27;17:34;17:47;17:57;18:17;18:27;18:34;18:47;18:57;19:17;19:27;19:34;19:47;20:07;
Dei Mille "Villa Igea";322;;06:29;06:54;07:19;07:29;07:49;07:59;08:19;08:29;08:36;08:49;08:59;09:19;09:29;09:36;09:49;09:59;10:19;10:29;10:36;10:49;10:59;11:19;11:29;11:36;11:49;11:59;12:19;12:29;12:36;12:49;12:59;;13:19;13:29;13:36;13:49;13:59;14:19;14:29;14:36;14:49;14:59;15:19;15:29;15:36;15:49;15:59;16:19;16:29;16:36;16:49;16:59;17:19;17:29;17:36;17:49;17:59;18:19;18:29;18:36;18:49;18:59;19:19;19:29;19:36;19:49;20:09;
*Gorizia Adamello;352;;06:31;06:56;07:21;07:31;07:51;08:01;08:21;08:31;08:38;08:51;09:01;09:21;09:31;09:38;09:51;10:01;10:21;10:31;10:38;10:51;11:01;11:21;11:31;11:38;11:51;12:01;12:21;12:31;12:38;12:51;13:01;;13:21;13:31;13:38;13:51;14:01;14:21;14:31;14:38;14:51;15:01;15:21;15:31;15:38;15:51;16:01;16:21;16:31;16:38;16:51;17:01;17:21;17:31;17:38;17:51;18:01;18:21;18:31;18:38;18:51;19:01;19:21;19:31;19:38;19:51;20:11;
Bolghera "S.Antonio";284;;06:32;06:57;07:22;07:32;07:52;08:02;08:22;08:32;08:39;08:52;09:02;09:22;09:32;09:39;09:52;10:02;10:22;10:32;10:39;10:52;11:02;11:22;11:32;11:39;11:52;12:02;12:22;12:32;12:39;12:52;13:02;;13:22;13:32;13:39;13:52;14:02;14:22;14:32;14:39;14:52;15:02;15:22;15:32;15:39;15:52;16:02;16:22;16:32;16:39;16:52;17:02;17:22;17:32;17:39;17:52;18:02;18:22;18:32;18:39;18:52;19:02;19:22;19:32;19:39;19:52;20:12;
Fogazzaro "Piscina";338;;06:33;06:58;07:23;07:33;07:53;08:03;08:23;08:33;08:40;08:53;09:03;09:23;09:33;09:40;09:53;10:03;10:23;10:33;10:40;10:53;11:03;11:23;11:33;11:40;11:53;12:03;12:23;12:33;12:40;12:53;13:03;;13:23;13:33;13:40;13:53;14:03;14:23;14:33;14:40;14:53;15:03;15:23;15:33;15:40;15:53;16:03;16:23;16:33;16:40;16:53;17:03;17:23;17:33;17:40;17:53;18:03;18:23;18:33;18:40;18:53;19:03;19:23;19:33;19:40;19:53;20:13;
*Verona Einaudi;462;;06:35;07:00;07:25;07:35;07:55;08:05;08:25;08:35;08:42;08:55;09:05;09:25;09:35;09:42;09:55;10:05;10:25;10:35;10:42;10:55;11:05;11:25;11:35;11:42;11:55;12:05;12:25;12:35;12:42;12:55;13:05;;13:25;13:35;13:42;13:55;14:05;14:25;14:35;14:42;14:55;15:05;15:25;15:35;15:42;15:55;16:05;16:25;16:35;16:42;16:55;17:05;17:25;17:35;17:42;17:55;18:05;18:25;18:35;18:42;18:55;19:05;19:25;19:35;19:42;19:55;20:15;
Verona "S.Bartolameo";217;;06:35;07:00;07:25;07:35;07:55;08:05;08:25;08:35;08:42;08:55;09:05;09:25;09:35;09:42;09:55;10:05;10:25;10:35;10:42;10:55;11:05;11:25;11:35;11:42;11:55;12:05;12:25;12:35;12:42;12:55;13:05;;13:25;13:35;13:42;13:55;14:05;14:25;14:35;14:42;14:55;15:05;15:25;15:35;15:42;15:55;16:05;16:25;16:35;16:42;16:55;17:05;17:25;17:35;17:42;17:55;18:05;18:25;18:35;18:42;18:55;19:05;19:25;19:35;19:42;19:55;20:15;
Fermi La Clarina;335;;06:36;;07:26;;07:56;;08:26;;08:43;08:56;;09:26;;09:43;09:56;;10:26;;10:43;10:56;;11:26;;11:43;11:56;;12:26;;12:43;12:56;;;13:26;;13:43;13:56;;14:26;;14:43;14:56;;15:26;;15:43;15:56;;16:26;;16:43;16:56;;17:26;;17:43;17:56;;18:26;;18:43;18:56;;19:26;;19:43;19:56;;
Degasperi La Clarina;321;;06:37;;07:27;;07:57;;08:27;;08:44;08:57;;09:27;;09:44;09:57;;10:27;;10:44;10:57;;11:27;;11:44;11:57;;12:27;;12:44;12:57;;;13:27;;13:44;13:57;;14:27;;14:44;14:57;;15:27;;15:44;15:57;;16:27;;16:44;16:57;;17:27;;17:44;17:57;;18:27;;18:44;18:57;;19:27;;19:44;19:57;;
Verona "Questura";461;;;07:01;;07:36;;08:06;;08:36;;;09:06;;09:36;;;10:06;;10:36;;;11:06;;11:36;;;12:06;;12:36;;;13:06;;;13:36;;;14:06;;14:36;;;15:06;;15:36;;;16:06;;16:36;;;17:06;;17:36;;;18:06;;18:36;;;19:06;;19:36;;;20:16;
