Descr.breve:;;10;
Descr.lunga:;;Villamontagna/Montevaccino-Martignano-P.Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;
Servizio:;;
gtfs trip_id;;0004009962023091120240611;0004010032023091120240611;0004009952023091120240611;0004010042023091120240611;0004009972023091120240611;0004010052023091120240611;0004009982023091120240611;0004010062023091120240611;0004009992023091120240611;0004010072023091120240611;0004010002023091120240611;0004010082023091120240611;0004010012023091120240611;0004010092023091120240611;0004010022023091120240611;0004013312023091120240611;0004013302023091120240611;
smartplanner route_id;;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;10R;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004009962023091120240611;0004010032023091120240611$GTFS_RS_Name=10;0004009952023091120240611;0004010042023091120240611$GTFS_RS_Name=10;0004009972023091120240611;0004010052023091120240611$GTFS_RS_Name=10;0004009982023091120240611;0004010062023091120240611$GTFS_RS_Name=10;0004009992023091120240611;0004010072023091120240611$GTFS_RS_Name=10;0004010002023091120240611;0004010082023091120240611$GTFS_RS_Name=10;0004010012023091120240611;0004010092023091120240611$GTFS_RS_Name=10;0004010022023091120240611;0004013312023091120240611;0004013302023091120240611;
Cognola S.Vito;25;07:08;;09:08;;11:08;;13:08;;15:08;;17:08;;19:08;;21:08;22:08;23:08;
San Vito;27;07:09;;09:09;;11:09;;13:09;;15:09;;17:09;;19:09;;21:09;22:09;23:09;
San Donà;219;07:10;;09:10;;11:10;;13:10;;15:10;;17:10;;19:10;;21:10;22:10;23:10;
Cognola "Centro Civico";21;07:15;;09:15;;11:15;;13:15;;15:15;;17:15;;19:15;;21:15;22:15;23:15;
Zell Marnighe;491;07:16;;09:16;;11:16;;13:16;;15:16;;17:16;;19:16;;21:16;22:16;23:16;
Sp 131 "Maso Pradiscola";105;07:17;;09:17;;11:17;;13:17;;15:17;;17:17;;19:17;;21:17;22:17;23:17;
Martignano Formigheta;102;07:18;;09:18;;11:18;;13:18;;15:18;;17:18;;19:18;;21:18;22:18;23:18;
Martignano Costiole;326;07:19;;09:19;;11:19;;13:19;;15:19;;17:19;;19:19;;21:19;22:19;23:19;
Montevaccino;151;;08:09;;10:09;;12:09;;14:09;;16:09;;18:09;;20:09;;;;
Sp 131 Al Maso Specchio;116;;08:16;;10:16;;12:16;;14:16;;16:16;;18:16;;20:16;;;;
Maso Bolleri;8;;08:17;;10:17;;12:17;;14:17;;16:17;;18:17;;20:17;;;;
Sp 131 "Res. Silvana";110;;08:18;;10:18;;12:18;;14:18;;16:18;;18:18;;20:18;;;;
Martignano Ai Bolleri;112;;08:19;;10:19;;12:19;;14:19;;16:19;;18:19;;20:19;;;;
Martignano P.Zza Menghin;107;07:20;08:20;09:20;10:20;11:20;12:20;13:20;14:20;15:20;16:20;17:20;18:20;19:20;20:20;21:20;22:20;23:20;
Martignano Piazza Canopi;108;07:20;08:20;09:20;10:20;11:20;12:20;13:20;14:20;15:20;16:20;17:20;18:20;19:20;20:20;21:20;22:20;23:20;
Martignano Cesarini;309;07:21;08:21;09:21;10:21;11:21;12:21;13:21;14:21;15:21;16:21;17:21;18:21;19:21;20:21;21:21;22:21;23:21;
Martignano Castori;328;07:22;08:22;09:22;10:22;11:22;12:22;13:22;14:22;15:22;16:22;17:22;18:22;19:22;20:22;21:22;22:22;23:22;
Martignano Capitel;280;07:23;08:23;09:23;10:23;11:23;12:23;13:23;14:23;15:23;16:23;17:23;18:23;19:23;20:23;21:23;22:23;23:23;
Missioni Africane;391;07:24;08:24;09:24;10:24;11:24;12:24;13:24;14:24;15:24;16:24;17:24;18:24;19:24;20:24;21:24;22:24;23:24;
Quattro Strade;390;07:25;08:25;09:25;10:25;11:25;12:25;13:25;14:25;15:25;16:25;17:25;18:25;19:25;20:25;21:25;22:25;23:25;
Cervara Cereria;307;07:26;08:26;09:26;10:26;11:26;12:26;13:26;14:26;15:26;16:26;17:26;18:26;19:26;20:26;21:26;22:26;23:26;
Cervara "Port'aquila";178;07:28;08:28;09:28;10:28;11:28;12:28;13:28;14:28;15:28;16:28;17:28;18:28;19:28;20:28;21:28;22:28;23:28;
Sanzio "Castello";276;07:29;08:29;09:29;10:29;11:29;12:29;13:29;14:29;15:29;16:29;17:29;18:29;19:29;20:29;21:29;22:29;23:29;
Romagnosi Vannetti;403;07:31;08:31;09:31;10:31;11:31;12:31;13:31;14:31;15:31;16:31;17:31;18:31;19:31;20:31;21:31;22:31;23:31;
Piazza Dante "Dogana";2189;07:32;08:32;09:32;10:32;11:32;12:32;13:32;14:32;15:32;16:32;17:32;18:32;19:32;20:32;21:32;22:32;23:32;
;;;;;;;;;;;;;;;;;;
