Descr.breve:;;10;
Descr.lunga:;;P.Dante-Martignano-Villamontagna/Montevaccino;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;;Linea 10/;
Servizio:;;
gtfs trip_id;;0004013272023091120240611;0004013292023091120240611;0004009812023091120240611;0004009882023091120240611;0004009822023091120240611;0004009892023091120240611;0004009832023091120240611;0004009902023091120240611;0004009842023091120240611;0004009912023091120240611;0004009852023091120240611;0004009922023091120240611;0004009862023091120240611;0004009932023091120240611;0004009872023091120240611;0004009942023091120240611;0004013282023091120240611;
smartplanner route_id;;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;10A;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004013272023091120240611;0004013292023091120240611$GTFS_RS_Name=10;0004009812023091120240611;0004009882023091120240611$GTFS_RS_Name=10;0004009822023091120240611;0004009892023091120240611$GTFS_RS_Name=10;0004009832023091120240611;0004009902023091120240611$GTFS_RS_Name=10;0004009842023091120240611;0004009912023091120240611$GTFS_RS_Name=10;0004009852023091120240611;0004009922023091120240611$GTFS_RS_Name=10;0004009862023091120240611;0004009932023091120240611$GTFS_RS_Name=10;0004009872023091120240611;0004009942023091120240611;0004013282023091120240611;
Quattro Strade;389;06:27;07:27;08:27;09:27;10:27;11:27;12:27;13:27;14:27;15:27;16:27;17:27;18:27;19:27;20:27;21:27;22:27;
Missioni Africane;388;06:27;07:27;08:27;09:27;10:27;11:27;12:27;13:27;14:27;15:27;16:27;17:27;18:27;19:27;20:27;21:27;22:27;
Martignano Capitel;279;06:29;07:29;08:29;09:29;10:29;11:29;12:29;13:29;14:29;15:29;16:29;17:29;18:29;19:29;20:29;21:29;22:29;
Martignano Castori;327;06:30;07:30;08:30;09:30;10:30;11:30;12:30;13:30;14:30;15:30;16:30;17:30;18:30;19:30;20:30;21:30;22:30;
Martignano Cesarini;308;06:31;07:31;08:31;09:31;10:31;11:31;12:31;13:31;14:31;15:31;16:31;17:31;18:31;19:31;20:31;21:31;22:31;
Martignano "Chiesa";103;06:32;07:32;08:32;09:32;10:32;11:32;12:32;13:32;14:32;15:32;16:32;17:32;18:32;19:32;20:32;21:32;22:32;
Martignano P.Zza Menghin;106;06:33;07:33;08:33;09:33;10:33;11:33;12:33;13:33;14:33;15:33;16:33;17:33;18:33;19:33;20:33;21:33;22:33;
Martignano Ai Bolleri;111;;07:34;;09:34;;11:34;;13:34;;15:34;;17:34;;19:34;;;;
Maso Bolleri;7;;07:36;;09:36;;11:36;;13:36;;15:36;;17:36;;19:36;;;;
Montevaccino;151;;07:45;;09:45;;11:45;;13:45;;15:45;;17:45;;19:45;;;;
Martignano Costiole;325;06:34;;08:34;;10:34;;12:34;;14:34;;16:34;;18:34;;20:34;21:34;22:34;
Martignano Formigheta;101;06:35;;08:35;;10:35;;12:35;;14:35;;16:35;;18:35;;20:35;21:35;22:35;
*Sp 131 "Maso Pradiscola";104;06:36;;08:36;;10:36;;12:36;;14:36;;16:36;;18:36;;20:36;21:36;22:36;
Zell Marnighe;490;06:37;;08:37;;10:37;;12:37;;14:37;;16:37;;18:37;;20:37;21:37;22:37;
Cognola "Chiesa";2505;06:38;;08:38;;10:38;;12:38;;14:38;;16:38;;18:38;;20:38;21:38;22:38;
San Donà;222;06:39;;08:39;;10:39;;12:39;;14:39;;16:39;;18:39;;20:39;21:39;22:39;
San Donà "Chiesa";220;06:40;;08:40;;10:40;;12:40;;14:40;;16:40;;18:40;;20:40;21:40;22:40;
San Vito;24;06:41;;08:41;;10:41;;12:41;;14:41;;16:41;;18:41;;20:41;21:41;22:41;
*Cognola S.Vito;26;06:43;;08:43;;10:43;;12:43;;14:43;;16:43;;18:43;;20:43;21:43;22:43;
Cognola "Scuole";28;06:44;;08:44;;10:44;;12:44;;14:44;;16:44;;18:44;;20:44;21:44;22:44;
*Cognola Grezoni;22;06:45;;08:45;;10:45;;12:45;;14:45;;16:45;;18:45;;20:45;21:45;22:45;
*Cognola Alla Veduta "Roza";30;06:46;;08:46;;10:46;;12:46;;14:46;;16:46;;18:46;;20:46;21:46;22:46;
*Cognola "Toresela";18;06:46;;08:46;;10:46;;12:46;;14:46;;16:46;;18:46;;20:46;21:46;22:46;
Cognola Bivio Civezzano;20;06:47;;08:47;;10:47;;12:47;;14:47;;16:47;;18:47;;20:47;21:47;22:47;
*Tavernaro "Villa Clementi";252;06:47;;08:47;;10:47;;12:47;;14:47;;16:47;;18:47;;20:47;21:47;22:47;
Tavernaro Centro;248;06:48;;08:48;;10:48;;12:48;;14:48;;16:48;;18:48;;20:48;21:48;22:48;
*Tavernaro "Salet";250;06:49;;08:49;;10:49;;12:49;;14:49;;16:49;;18:49;;20:49;21:49;22:49;
*Villamontagna "Michei";478;06:51;;08:51;;10:51;;12:51;;14:51;;16:51;;18:51;;20:51;21:51;22:51;
Villamontagna P.Predaroi;477;06:52;;08:52;;10:52;;12:52;;14:52;;16:52;;18:52;;20:52;21:52;22:52;
;;;;;;;;;;;;;;;;;;
