service_id;;0000000092023091120240611;;;0000000022023091120240611;0000000032023091120240611;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;;0000000022023091120240611;;;0000000022023091120240611;;;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;;;;
stops;stop_id;0004012082023091120240611;;$italic;0004012092023091120240611;0004012202023091120240611;0004012102023091120240611;;0004012232023091120240611;0004012152023091120240611;;0004012162023091120240611;;$italic;0004012172023091120240611;;0004012142023091120240611;$italic;0004012262023091120240611;0004012112023091120240611;0004012242023091120240611;$italic;0004012212023091120240611;$italic;0004012252023091120240611;0004012182023091120240611;;0004012192023091120240611;$italic;$italic;0004012122023091120240611;$italic;$italic;0004012132023091120240611;$italic;$italic;0004012222023091120240611;;0004014192023091120240611;;0004014202023091120240611;;;;
Gardolo P.Le Neufahrn Nord;53;;;;;;;;;;;;;;;;;;12:11;;;;;;;;;;;;;;;;;;;;;;;;;;
*Gardolo Soprasasso;428;;;;;;;;;;;;;;;;;;12:12;;;;;;;;;;;;;;;;;;;;;;;;;;
Gardolo P.Le Neufahrn Sud;52;;;;;;;;;;;;;;;;;;;;13:17;;;;14:17;;;;;;;;;;;;;;;;;;;;
gardolo piazza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gardolo "Stazione Ftm";261;;;;;;;;;;;;;;;;;;12:13;;;;;;;;;;;;;;;;;;;;;;;;;;
*M. Rossi "Stella D.Mattino";262;;;;;;;;;;;;;;;;;;12:14;;;;;;;;;;;;;;;;;;;;;;;;;;
Maso Rossi Aichner;441;;;;;;;;;;;;;;;;;;12:15;;;;;;;;;;;;;;;;;;;;;;;;;;
Roncafort;213;;;;;;;;;;;;;;;;;;12:17;;;;;;;;;;;;;;;;;;;;;;;;;;
Roncafort Caproni;2491;;;;;;;;;;;;;;;;;;12:18;;;;;;;;;;;;;;;;;;;;;;;;;;
*Roncafort Bettine;2492;;;;;;;;;;;;;;;;;;12:19;;;;;;;;;;;;;;;;;;;;;;;;;;
*Caneppele Goio;305;;;;;;;;;;;;;;;;;;12:20;;;;;;;;;;;;;;;;;;;;;;;;;;
Maccani Commercio;362;;;;;;;;;;;;;;;;;;12:21;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro Commerciale;14;;;;;;;;;;;;;;;;;;12:23;;;;;;;;;;;;;;;;;;;;;;;;;;
Ss 12 "Paludi";289;06:15;;;07:10;07:27;07:55;;08:25;08:46;;09:46;;;10:46;;11:46;;;12:46;;;13:46;;;14:46;;15:46;;;16:46;;;17:46;;;18:46;;19:46;;20:46;;;;
Ss 12 Canova;288;06:16;;;07:11;07:28;07:56;;08:26;08:47;;09:47;;;10:47;;11:47;;;12:47;;;13:47;;;14:47;;15:47;;;16:47;;;17:47;;;18:47;;19:47;;20:47;;;;
Brennero "Bren Center";291;06:18;;;07:13;07:30;07:58;;08:28;08:49;;09:49;;;10:49;;11:49;;;12:49;;;13:49;;;14:49;;15:49;;;16:49;;;17:49;;;18:49;;19:49;;20:49;;;;
Brennero "Magnete";296;06:19;;;07:14;07:31;07:59;;08:29;08:50;;09:50;;;10:50;;11:50;;;12:50;;;13:50;;;14:50;;15:50;;;16:50;;;17:50;;;18:50;;19:50;;20:50;;;;
Brennero Marconi;295;06:20;;;07:15;07:32;08:00;;08:30;08:51;;09:51;;;10:51;;11:51;;;12:51;;;13:51;;;14:51;;15:51;;;16:51;;;17:51;;;18:51;;19:51;;20:51;;;;
Brennero "Ex Scalo Filzi";298;06:21;;;07:16;07:33;08:01;;08:31;08:52;;09:52;;;10:52;;11:52;;;12:52;;;13:52;;;14:52;;15:52;;;16:52;;;17:52;;;18:52;;19:52;;20:52;;;;
Segantini Centa;420;06:23;;;07:18;07:35;08:03;;08:33;08:54;;09:54;;;10:54;;11:54;;;12:54;;;13:54;;;14:54;;15:54;;;16:54;;;17:54;;;18:54;;19:54;;20:54;;;;
*Segantini Dogana;421;06:23;;;07:18;07:35;08:03;;08:33;08:54;;09:54;;;10:54;;11:54;;;12:54;;;13:54;;;14:54;;15:54;;;16:54;;;17:54;;;18:54;;19:54;;20:54;;;;
Piazza Dante "Dogana";2189;06:24;;;07:19;07:36;08:04;;08:34;08:55;;09:55;;;10:55;;11:55;;;12:55;;;13:55;;;14:55;;15:55;;;16:55;;;17:55;;;18:55;;19:55;;20:55;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
