Descr.breve:;;7;
Descr.lunga:;;Canova - Melta - Piazza Dante - Gocciadoro;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;Feriale da Lunedì a Venerdì;;;;;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;
Linea:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linea 17/;Linea 17/;Linea 17/;
Servizio:;;
gtfs trip_id;;0004011992023091120240611;0003993402023091120240611;0003993292023091120240611;0004007102023091120240611;0003993352023091120240611;0003993282023091120240611;0004012062023091120240611;0003993412023091120240611;0003992772023091120240611;0003993382023091120240611;0003992752023091120240611;0003993392023091120240611;0004007382023091120240611;0003993362023091120240611;0003992762023091120240611;0003993372023091120240611;0003992812023091120240611;0003992782023091120240611;0003992802023091120240611;0003992792023091120240611;0003993032023091120240611;0003993112023091120240611;0003993192023091120240611;0003992822023091120240611;0003992892023091120240611;0003992962023091120240611;0003993042023091120240611;0003993122023091120240611;0003993202023091120240611;0003992832023091120240611;0003992902023091120240611;0003992972023091120240611;0003993052023091120240611;0003993132023091120240611;0003993212023091120240611;0003992842023091120240611;0003992912023091120240611;0003992982023091120240611;0003993062023091120240611;0003993142023091120240611;0003993222023091120240611;0003992852023091120240611;0003992922023091120240611;0003992992023091120240611;0003993072023091120240611;0003993152023091120240611;0003993232023091120240611;0003992862023091120240611;0003992932023091120240611;0003993002023091120240611;0003993082023091120240611;0003993162023091120240611;0003993242023091120240611;0003992872023091120240611;0003992942023091120240611;0003993012023091120240611;0003993092023091120240611;0003993172023091120240611;0003993252023091120240611;0003992882023091120240611;0003992952023091120240611;0003993022023091120240611;0003993102023091120240611;0003993182023091120240611;0003993262023091120240611;0003993272023091120240611;0004013712023091120240611;0004013722023091120240611;;;;
Canova Paludi;12;05:36;06:00;06:15;;;07:00;;;07:08;;07:20;07:31;;;07:50;;08:10;08:25;08:40;08:55;09:10;09:25;09:40;09:55;10:10;10:25;10:40;10:55;11:10;11:25;11:40;11:55;12:10;12:25;12:40;12:55;13:10;13:25;13:40;13:55;14:10;14:25;14:40;14:55;15:10;15:25;15:40;15:55;16:10;16:25;16:40;16:55;17:10;17:25;17:40;17:55;18:10;18:25;18:40;18:55;19:10;19:25;19:40;19:55;20:10;20:25;20:40;20:55;;;;
Gardolo "Materna Paludi";13;05:37;06:01;06:16;;;07:01;;;07:09;;07:21;07:32;;;07:51;;08:11;08:26;08:41;08:56;09:11;09:26;09:41;09:56;10:11;10:26;10:41;10:56;11:11;11:26;11:41;11:56;12:11;12:26;12:41;12:56;13:11;13:26;13:41;13:56;14:11;14:26;14:41;14:56;15:11;15:26;15:41;15:56;16:11;16:26;16:41;16:56;17:11;17:26;17:41;17:56;18:11;18:26;18:41;18:56;19:11;19:26;19:41;19:56;20:11;20:26;20:41;20:56;;;;
Gardolo Soprasasso;429;05:38;06:02;06:17;;;07:02;;;07:10;;07:22;07:33;07:34;;07:52;;08:12;08:27;08:42;08:57;09:12;09:27;09:42;09:57;10:12;10:27;10:42;10:57;11:12;11:27;11:42;11:57;12:12;12:27;12:42;12:57;13:12;13:27;13:42;13:57;14:12;14:27;14:42;14:57;15:12;15:27;15:42;15:57;16:12;16:27;16:42;16:57;17:12;17:27;17:42;17:57;18:12;18:27;18:42;18:57;19:12;19:27;19:42;19:57;20:12;20:27;20:42;20:57;;;;
Gardolo P.Le Neufahrn Sud;52;05:39;06:03;06:18;06:38;;07:03;;07:07;07:11;;07:23;07:34;07:35;;07:53;;08:13;08:28;08:43;08:58;09:13;09:28;09:43;09:58;10:13;10:28;10:43;10:58;11:13;11:28;11:43;11:58;12:13;12:28;12:43;12:58;13:13;13:28;13:43;13:58;14:13;14:28;14:43;14:58;15:13;15:28;15:43;15:58;16:13;16:28;16:43;16:58;17:13;17:28;17:43;17:58;18:13;18:28;18:43;18:58;19:13;19:28;19:43;19:58;20:13;20:28;20:43;20:58;;;;
Gardolo 4 Nov. Canova;257;;;;;06:56;;07:03;;;07:13;;;;07:42;;07:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Gardolo 4 Nov. 2 Giugno;2663;;;;;06:57;;07:04;;;07:14;;;;07:43;;07:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Gardolo 4 Nov. "Piscina";258;;;;;06:57;;07:04;;;07:14;;;;07:43;;07:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gardolo 4 Nov. Soprasasso;259;;;;;06:58;;07:05;;;07:15;;;;07:44;;07:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gardolo D.Milani "Piscina";59;;06:04;06:19;06:39;06:59;07:04;07:06;07:08;07:12;07:16;07:24;07:35;07:36;07:45;07:54;08:00;08:14;08:29;08:44;08:59;09:14;09:29;09:44;09:59;10:14;10:29;10:44;10:59;11:14;11:29;11:44;11:59;12:14;12:29;12:44;12:59;13:14;13:29;13:44;13:59;14:14;14:29;14:44;14:59;15:14;15:29;15:44;15:59;16:14;16:29;16:44;16:59;17:14;17:29;17:44;17:59;18:14;18:29;18:44;18:59;19:14;19:29;19:44;19:59;20:14;20:29;20:44;20:59;;;;
*Gardolo Don Milani 8 Marzo;61;;06:04;06:19;06:39;06:59;07:04;07:06;07:08;07:12;07:16;07:24;07:35;07:36;07:45;07:54;08:00;08:14;08:29;08:44;08:59;09:14;09:29;09:44;09:59;10:14;10:29;10:44;10:59;11:14;11:29;11:44;11:59;12:14;12:29;12:44;12:59;13:14;13:29;13:44;13:59;14:14;14:29;14:44;14:59;15:14;15:29;15:44;15:59;16:14;16:29;16:44;16:59;17:14;17:29;17:44;17:59;18:14;18:29;18:44;18:59;19:14;19:29;19:44;19:59;20:14;20:29;20:44;20:59;;;;
