Descr.breve:;;8;
Descr.lunga:;;Mattarello -  Piazza Dante - Lavis;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;Linea 17;
Servizio:;;
gtfs trip_id;;;;;;;;;;;;;;;;;;;
smartplanner route_id;;;;;;;;;;;;;;;;;;;
service_id;;;;;;;;;;;;;;;;;;;
stops;stop_id;;;;;;;;;;;;;;;;;;
mattarello sud;;;;;;;;;;;;;;;;;;;
mattarello rio stolzano;;;;;;;;;;;;;;;;;;;
mattarello s.leonardo;;;;;;;;;;;;;;;;;;;
mattarello catoni;;;;;;;;;;;;;;;;;;;
mattarello via nazionale;;;;;;;;;;;;;;;;;;;
mattarello pomeranos;;;;;;;;;;;;;;;;;;;
mattarello "ronchi";;;;;;;;;;;;;;;;;;;
ss 12 "casteller";;;;;;;;;;;;;;;;;;;
ss 12 "le caverne";;;;;;;;;;;;;;;;;;;
stella marighetto;;;;;;;;;;;;;;;;;;;
madonna bianca "s.gaetano";;;;;;;;;;;;;;;;;;;
verona menguzzato;;;;;;;;;;;;;;;;;;;
verona "big center";;;;;;;;;;;;;;;;;;;
verona "questura";;;;;;;;;;;;;;;;;;;
verona "s.bartolameo";;;;;;;;;;;;;;;;;;;
verona einaudi;;;;;;;;;;;;;;;;;;;
verona fogazzaro;;;;;;;;;;;;;;;;;;;
3 nov. "ponte cavalleggeri";;;;;;;;;;;;;;;;;;;
3 nov. "centro s.chiara";;;;;;;;;;;;;;;;;;;
piazza di fiera;;;;;;;;;;;;;;;;;;;
s.francesco porta nuova;;;;;;;;;;;;;;;;;;;
sanzio "castello";;;;;;;;;;;;;;;;;;;
romagnosi vannetti;;;;;;;;;;;;;;;;;;;
centa brennero;;;;;;;;;;;;;;;;;;;
brennero marconi;;;;;;;;;;;;;;;;;;;
brennero "bren center";;;;;;;;;;;;;;;;;;;
ss 12 "pioppeto";;;;;;;;;;;;;;;;;;;
ss 12 "zona ind.le ftm";;;;;;;;;;;;;;;;;;;
lamar "ftm";;;;;;;;;;;;;;;;;;;
lavis nazionale;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
